ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075849172::Physical Only,1075849176::Physical Name
1075838981::544,Season Title,Column,Season Title,,SeasonTitle
1075838981::547,Show Id,Column,Show Id,,ShowId
1075838981::549,Season Id,Column,Season Id,,SeasonId
1075838981::554,Season Number,Column,Season Number,,SeasonNumber
1075838981::555,Episode Name,Column,Episode Name,,EpisodeName
1075838981::556,Episode Number,Column,Episode Number,,EpisodeNumber
1075838981::557,Episode Length,Column,Episode Length,,EpisodeLength
1075838981::558,Episode Description,Column,Episode Description,,EpisodeDescription
1075838981::559,Description,Column,Description,,Description
1075838981::569,Address Id,Column,Address Id,,AddressId
1075838981::626,Server Id,Column,Server Id,,ServerId
1075838981::630,Snapshot,Column,Snapshot,,Snapshot
1075838981::631,Load,Column,Load,,Load
1075838981::642,Supported Devices,Column,Supported Devices,,SupportedDevices
1075838981::643,Supported Resolution,Column,Supported Resolution,,SupportedResolution
1075838981::676,Plan Id,Column,Plan Id,,PlanId
1075838981::682,Customer Id,Column,Customer Id,,CustomerId
1075838981::684,Account Id,Column,Account Id,,AccountId
1075838981::690,Plan Id,Column,Plan Id,,PlanId
1075838981::697,Production Id,Column,Production Id,,ProductionId
1075838981::701,Director Id,Column,Director Id,,DirectorId
1075838981::711,Production Id,Column,Production Id,,ProductionId
1075838981::719,Production Id,Column,Production Id,,ProductionId
1075838981::724,Server Id,Column,Server Id,,ServerId
1075838981::738,Production Id,Column,Production Id,,ProductionId
1075838981::741,Production Id,Column,Production Id,,ProductionId
1075838981::744,Production Id,Column,Production Id,,ProductionId
1075838981::755,Production Id,Column,Production Id,,ProductionId
1075838981::762,Production Type,Column,Production Type,,ProductionType
1075838981::771,Production Id,Column,Production Id,,ProductionId
1075838981::776,Customer Id,Column,Customer Id,,CustomerId
1075838981::778,Account Id,Column,Account Id,,AccountId
1075838981::783,Country,Column,Country,,Country
1075838981::792,Actor Id,Column,Actor Id,,ActorId
1075838981::797,Production Id,Column,Production Id,,ProductionId
1075838981::808,Production Name,Column,Production Name,,ProductionName
1075838981::809,Actor Award,Column,Actor Award,,ActorAward
